번호,,,1st depth,2nd depth,3rd depth,4th depth,팝업,모바일지원,설명,비고
0.0,,,온보딩(최초 1회),,,,,O,"앱 최초 실행 시 1회 진행되는 진단·설정 플로우. 완료 후 홈(1.0)으로 진입.",P0 / 세그먼트 분기 시작
,0.1,,,목적·주제 입력,,,,O,"운영 목적·계정 주제 입력. 세그먼트 분기점(취미·브랜딩·포트폴리오→초보 / 매출·클래스 문의·예약→소상공인 모듈 ON).",O1
,0.2,,,계정 상태 입력,,,,O,"팔로워·운영기간·주당 업로드·주 사용 형식 입력(진단 입력값).",O2
,0.3,,,톤앤매너 설정,,,,O,"선호 톤·피할 스타일·브랜드 키워드·문체 예시·금지어·비주얼 가이드. 모든 생성화면(2.x)에 제약으로 상속.",O3 / 품질 근간
,0.4,,,진단 결과,,,,O,"운영 단계 진단 + 이번 달/주 목표 제시. [콘텐츠 만들러 가기].",O4
,0.5,,,운영 체크리스트,,,,O,"프로페셔널 전환·프로필·링크·하이라이트·고정·인사이트 세팅 안내. [완료] / [나중에].",O5
,,0.5.1,,,비즈니스 정보 입력,,,O,"업종·매장·예약 링크 1스텝 추가.",소상공인(C)만 노출◆
1.0,,,홈·대시보드,,,,,O,"탭1. 모든 행동의 시작 허브(hub-and-spoke). 온보딩 후 기본 진입. ""지금 할 한 가지""를 항상 제시.",P0 / ★기본 허브
,1.1,,,오늘의 코치,,,,O,"이번 주 할 일 + 진행 중 콘텐츠 허브. 빈 상태(온보딩 직후)는 목표 배너 + [첫 콘텐츠 만들기] 단일 CTA만.",H1
,,1.1.1,,,이번 주 목표 배너,,,O,"O4 진단의 주간 콘텐츠 목표(예: 릴스 2개 + 카드뉴스 1개) + 진척 표시.",
,,1.1.2,,,다음 할 한 가지(Primary),,,O,"상태별 1개만 강조: [이어서 수정] / [이번 주 주제 받기] / [성과 입력].",
,,1.1.3,,,진행 중 콘텐츠,,,O,"draft·edited 상태 카드 리스트 → 2.3 에디터로.",
,,1.1.4,,,성과 입력 대기,,,O,"exported인데 미측정 콘텐츠 → 3.1 성과 입력으로.",
,,1.1.5,,,마일스톤 트래커,,,O,"현재 팔로워 vs 다음 목표(100→500→1K). 작은 성취 강조.",
,,1.1.6,,,다음 액션 요약,,,O,"최근 성과 추천(3.2) 1~2개 재노출.",
2.0,,,콘텐츠,,,,,O,"탭2. 제작 파이프라인 2.1→2.2→2.3→2.4 한 방향 흐름. 중간 이탈 시 ""진행 중""으로 저장돼 홈에 재노출.",P0
,2.1,,,주제 추천,,,,O,"이번 주 추천 5개 카드. [이 주제로 초안] → 2.2. 소상공인은 시즌/이벤트 앵글 우선.",K1
,,2.1.1,,,주제 카드,,,O,"주제 한 줄·목적 태그(조회/저장/공유/방문/문의)·추천 포맷(릴스/카드뉴스/스토리)·후킹·필요 촬영 소스.",
,,2.1.2,,,다시 추천 / 직접 주제 입력,,,O,"보조 액션.",
,2.2,,,초안 생성 결과,,,,O,"제작 패키지 확인(읽기 전용). 포맷별 본문 + 캡션·해시태그·CTA. [수정하기] → 2.3.",K2 / 부분 스트리밍
,2.3,,,직접 수정 에디터,,,,O,"블록 단위 인라인 직접 수정(차별화 핵심). [최종 확인으로] → 2.4. status: edited.",K3
,,2.3.1,,,블록별 보조 도구,,O,O,"블록 선택 시 노출: 톤 변경(친근/정보성/짧게/감성)·문장 대체안 2~3개·해시태그 선택.",패널/팝업
,,2.3.2,,,AI 자가 점검 플래그,,,O,"미검증 주장·실존 인물·효능·이미지 아티팩트 등 의심 지점만 상단 배지. 소상공인은 금지어/브랜드 톤 위반 경고.",빈 검수 방지
,2.4,,,최종 컨펌 & 내보내기,,,,O,"하드 게이트. 컨펌 없이 내보내기로 건너뛸 수 없음. 내보내면 ""성과 입력 대기""에 자동 등록. status: exported.",K4
,,2.4.1,,,발행 전 체크리스트,,,O,"톤 확인·고위험 플래그 해소·해시태그·CTA 점검. 미체크 시 내보내기 비활성.",
,,2.4.2,,,최종 미리보기,,,O,"인스타 게시 형태(캡션+이미지/카드) 미리보기.",
,,2.4.3,,,내보내기,,O,O,"[캡션 복사] / [카드뉴스 이미지 내보내기] / [대본·자막 텍스트 내보내기]. MVP는 자동 발행 없음(사용자가 직접 올림).",팝업
,2.5,,,비즈니스 문구 도구,,,,O,"제품/클래스 소개·DM/문의 응대·예약 CTA 문구. [생성]/[복사].",K5 / 소상공인(C)◆ P0 일부
3.0,,,성과,,,,,O,"탭3. 루프 후반. 내보낸 콘텐츠가 ""성과 입력 대기""로 쌓이고, 입력하면 다음 액션→제작으로 순환.",P0
,3.1,,,성과 기록 입력,,,,O,"대상 콘텐츠 선택(exported 목록) + 지표 수동 입력(포맷별 관련 지표만). [저장 후 분석] → 3.2.",P1 / 수동입력 이탈 위험
,3.2,,,다음 액션 추천,,,,O,"강점·부족 지표·다음에 바꿀 점(규칙 기반 2~3개)·다음 실험. [이 실험으로 주제 받기] → 2.1(루프 완성).",P2
,3.3,,,성과 히스토리·마일스톤,,,,O,"콘텐츠별 기록·100/500/1K 진척·콘텐츠 비중.",P3
4.0,,,내 계정,,,,,O,"탭4. 무거운 설정. 톤앤매너·체크리스트·구독. 자주 안 가지만 톤 프로필은 품질의 근간.",P0
,4.1,,,계정 홈,,,,O,"현재 단계·프로필 요약·구독 상태. [톤앤매너 편집].",A1
,4.2,,,톤앤매너 프로필,,,,O,"O3(0.3) 항목 편집. [저장].",A2
,4.3,,,운영 체크리스트,,,,O,"O5(0.5) 항목 재점검. [완료 토글].",A3
,4.4,,,설정,,,,O,"구독 플랜·알림·로그아웃·계정.",A4
,,4.4.1,,,인스타 연동,,,O,"읽기 연동(P1, 성과 자동 수집)/쓰기·자동발행·코멘트→DM(P2).",확장 / 옵트인+킬스위치
5.0,,,확장 자리(P1/P2),,,,,O,"향후 기능이 들어올 위치를 IA에서 미리 비워둠. 자동 발행이 들어와도 2.4 최종 컨펌 게이트는 유지.",P1/P2 로드맵
,5.1,,,레퍼런스 아카이브,,,,O,"저장 → 내 계정 맞게 변환 → 초안. 2.1 주제 추천 대체 진입 경로.",P1
,5.2,,,시즌/이벤트 캘린더,,,,O,"홈 카드 + 콘텐츠 탭. 2.1 추천에 캘린더 기반 주제 주입.",P1
,5.3,,,트렌드 오디오·해시태그,,,,O,"2.3 에디터 내 보조 패널. 정책 검토 후.",P1
,5.4,,,IG 자동 발행·DM 리드마그넷,,,,O,"2.4에 [예약 발행] 추가 + 신규 DM 리드마그넷 화면. 옵트인 토글 + 킬스위치, 베타 테스터 한정.",P2
